run_id,lambda2,sigma_sq,meta_dict_size,primary_sae_type,meta_sae_type,joint_l2,joint_l0,joint_loss,joint_decomp,solo_l2,solo_l0,solo_loss,seq_meta_l2,seq_meta_l0,seq_meta_loss,joint_meta_l2_approx,l2_degradation,l2_degradation_pct,arch_combo,is_pareto_joint,norm_joint_l2,norm_seq_meta_l2,composite_score,composite_recon,composite_decomp
l2_0.1_s2_0.1_md_2048_pt_jum_mt_bat_944dee,0.1,0.1,2048,jumprelu,batchtopk,0.007494303863495588,643.909423828125,0.008943974040448666,0.01449669897556305,0.008923318237066269,626.2119140625,0.008923318237066269,0.4309370517730713,4.0,0.4309370517730713,0.42338343123310856,-0.0014290143735706806,-16.01438316561149,jum_bat,False,0.06672928261314391,0.5335612503098006,1.4668319676966566,0.8133578772637393,0.6534740904329173
l2_0.01_s2_0.01_md_512_pt_bat_mt_jum_fbce0d,0.01,0.01,512,batchtopk,jumprelu,0.0807,32.0,0.0833,0.0018,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.06319968614080018,-0.00020000000000000573,-0.2472187886279428,bat_jum,False,0.8078038046543051,0.0,0.19219619534569488,0.1345373367419864,0.05765885860370846
l2_0.1_s2_0.1_md_2048_pt_bat_mt_bat_76772f,0.1,0.1,2048,batchtopk,batchtopk,0.08132288604974747,32.0,0.08447744697332382,0.0061346678994596004,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5093799334401883,0.0004530176520347595,0.5601810179866356,bat_bat,False,0.814109392961832,0.6733021532998182,0.8591927603379862,0.332114070916663,0.5270786894213232
l2_0.001_s2_1.0_md_2048_pt_bat_mt_bat_0159e0,0.001,1.0,2048,batchtopk,batchtopk,0.0806,32.0,0.0837,0.596,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.5175146119167874,-0.0002999999999999947,-0.37082818294189707,bat_bat,False,0.8067914865408905,0.6733581477717356,0.8665666612308451,0.3372534037528973,0.5293132574779478
l2_0.01_s2_1.0_md_2048_pt_bat_mt_bat_e3e1ca,0.01,1.0,2048,batchtopk,batchtopk,0.08087770640850067,32.0,0.08907736092805862,0.5672470331192017,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.5669603856237412,7.838010787963867e-06,0.009692127541765055,bat_bat,False,0.8096027588162562,0.6733021532998182,0.863699394483562,0.3352687148185661,0.5284306796649959
l2_0.0_s2_0.01_md_512_pt_bat_mt_bat_fb731c,0.0,0.01,512,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.9999858178187043,1.1921820131643992,0.43453308208759767,0.7576489310768014
l2_0.001_s2_1.0_md_1024_pt_jum_mt_jum_1070f1,0.001,1.0,1024,jumprelu,jumprelu,0.0088,629.0,0.0097,0.9562,0.0089,626.2,0.0089,0.4018,18.2,0.4018,0.044788182790134,-9.99999999999994e-05,-1.1235955056179707,jum_jum,False,0.07994708110913404,0.48349829748141465,1.4035512163722805,0.7890865324680305,0.61446468390425
l2_0.1_s2_0.1_md_512_pt_jum_mt_jum_363515,0.1,0.1,512,jumprelu,jumprelu,0.002494349842891097,722.46044921875,0.002888064133003354,0.003937141969799995,0.008923318237066269,626.2119140625,0.008923318237066269,0.35641220211982727,29.060955047607422,0.35641220211982727,0.5537300207269378,-0.006428968394175172,-72.04683530696124,jum_jum,True,0.016113842400157962,0.40551349648108037,1.3893996540809224,0.8103743592642134,0.5790252948167088
l2_0.01_s2_1.0_md_2048_pt_jum_mt_bat_ffdabc,0.01,1.0,2048,jumprelu,batchtopk,0.006172818597406149,664.764892578125,0.01073386799544096,0.45610493421554565,0.008923318237066269,626.2119140625,0.008923318237066269,0.4309370517730713,4.0,0.4309370517730713,0.7850323770473019,-0.00275049963966012,-30.823731336117913,jum_bat,False,0.05335164789841404,0.5335612503098006,1.4802096024113864,0.8227222215640503,0.6574873808473363
l2_0.0_s2_0.01_md_1024_pt_bat_mt_bat_6a5abc,0.0,0.01,1024,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.6192,4.0,0.6192,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.85703251877658,1.049228714122275,0.3916470923749604,0.6575816217473145
l2_0.1_s2_0.1_md_2048_pt_bat_mt_jum_e8712d,0.1,0.1,2048,batchtopk,jumprelu,0.09696396440267563,32.0,0.1995706856250763,0.9957698583602905,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.0004239114000700449,0.01609409600496292,19.901226901734542,bat_jum,False,0.9724468622619099,0.47645149094083583,0.5040046286789259,0.16222264369891382,0.3417819849800121
l2_0.0_s2_0.1_md_512_pt_bat_mt_jum_7515f2,0.0,0.1,512,batchtopk,jumprelu,0.0807,32.0,0.0832,0.374,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.09834994815676051,-0.00020000000000000573,-0.2472187886279428,bat_jum,False,0.8078038046543051,0.0,0.19219619534569488,0.1345373367419864,0.05765885860370846
l2_0.001_s2_0.1_md_512_pt_jum_mt_jum_51cab8,0.001,0.1,512,jumprelu,jumprelu,0.0071,651.5,0.0074,0.3026,0.0089,626.2,0.0089,0.3564,29.1,0.3564,0.11953434776278815,-0.0017999999999999995,-20.22471910112359,jum_jum,False,0.0627376731810841,0.4054925309367941,1.34275485775571,0.7777313880542793,0.5650234697014306
l2_0.1_s2_0.1_md_1024_pt_jum_mt_bat_58595f,0.1,0.1,1024,jumprelu,batchtopk,0.00862384308129549,629.672119140625,0.008873889222741127,0.002500457689166069,0.008923318237066269,626.2119140625,0.008923318237066269,0.5244606733322144,4.0,0.5244606733322144,0.5991281488197859,-0.00029947515577077866,-3.3560963289059775,jum_bat,False,0.07816381271305507,0.6942524791589186,1.6160886664458636,0.8535610748485369,0.7625275915973265
l2_0.01_s2_1.0_md_512_pt_bat_mt_bat_242d85,0.01,1.0,512,batchtopk,batchtopk,0.08071994036436081,32.0,0.0880427211523056,0.4800572395324707,0.08086986839771271,32.0,0.08339682221412659,0.7024082541465759,4.0,0.7024082541465759,0.7338499331638197,-0.0001499280333518982,-0.18539418490773593,bat_bat,False,0.8080056645746105,1.0,1.1919943354253895,0.4343960347977726,0.7575983006276168
l2_0.0_s2_1.0_md_512_pt_jum_mt_jum_a3084b,0.0,1.0,512,jumprelu,jumprelu,0.009,624.6,0.009,0.9666,0.0089,626.2,0.0089,0.3564,29.1,0.3564,0.033970519571153344,9.99999999999994e-05,1.1235955056179707,jum_jum,False,0.08197171733596344,0.4054925309367941,1.3235208136008307,0.7642675571458638,0.5592532564549668
l2_0.001_s2_1.0_md_512_pt_jum_mt_jum_17a35c,0.001,1.0,512,jumprelu,jumprelu,0.0087,629.3,0.0096,0.917,0.0089,626.2,0.0089,0.3564,29.1,0.3564,0.08664780672567217,-0.00020000000000000052,-2.247191011235961,jum_jum,False,0.07893476299571932,0.4054925309367941,1.3265577679410747,0.7663934251840346,0.56016434275704
l2_0.1_s2_0.01_md_2048_pt_bat_mt_jum_44a5c7,0.1,0.01,2048,batchtopk,jumprelu,0.08054731041193008,32.0,0.08306427299976349,1.093687842512736e-06,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.137259552305921,-0.0003225579857826233,-0.398860530100413,bat_jum,False,0.8062581002969751,0.47645149094083583,0.6701933906438607,0.27855477707436815,0.39163861356949253
l2_0.01_s2_0.1_md_1024_pt_jum_mt_bat_e40206,0.01,0.1,1024,jumprelu,batchtopk,0.009125042706727982,624.3828125,0.009202101267874241,0.00770583376288414,0.008923318237066269,626.2119140625,0.008923318237066269,0.5244606733322144,4.0,0.5244606733322144,0.4865777605437003,0.00020172446966171265,2.260644127021899,jum_bat,False,0.08323754730567481,0.6942524791589186,1.6110149318532438,0.8500094606337032,0.7610054712195407
l2_0.0_s2_0.01_md_2048_pt_jum_mt_bat_900d75,0.0,0.01,2048,jumprelu,batchtopk,0.009,624.6,0.009,0.0073,0.0089,626.2,0.0089,0.4309,4.0,0.4309,0.04919880930827792,9.99999999999994e-05,1.1235955056179707,jum_bat,False,0.08197171733596344,0.53349758837235,1.4515258710363865,0.8026690743765306,0.648856796659856
l2_0.01_s2_0.01_md_2048_pt_bat_mt_bat_f84a06,0.01,0.01,2048,batchtopk,batchtopk,0.08072224259376526,32.0,0.08325023204088211,0.0005610249354504049,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.0748574520521118,-0.00014762580394744873,-0.1825473527685673,bat_bat,False,0.8080289704598841,0.6733021532998182,0.8652731828399342,0.33637036666802655,0.5289028161719075
l2_0.0_s2_0.1_md_2048_pt_jum_mt_bat_e662a1,0.0,0.1,2048,jumprelu,batchtopk,0.009,624.6,0.009,0.0328,0.0089,626.2,0.0089,0.4309,4.0,0.4309,0.3417326763592039,9.99999999999994e-05,1.1235955056179707,jum_bat,False,0.08197171733596344,0.53349758837235,1.4515258710363865,0.8026690743765306,0.648856796659856
l2_0.001_s2_1.0_md_2048_pt_bat_mt_jum_bb1b7f,0.001,1.0,2048,batchtopk,jumprelu,0.0805,32.0,0.0838,0.7488,0.0809,32.0,0.0834,0.3977,19.3,0.3977,0.28928335381875475,-0.0003999999999999976,-0.49443757725586845,bat_jum,False,0.8057791684274758,0.4764537238507331,0.6706745554232574,0.27889069925598686,0.3917838561672704
l2_0.01_s2_1.0_md_1024_pt_jum_mt_jum_9558b8,0.01,1.0,1024,jumprelu,jumprelu,0.004689856898039579,686.895263671875,0.013055024668574333,0.8365168571472168,0.008923318237066269,626.2119140625,0.008923318237066269,0.4018125534057617,18.189373016357422,0.4018125534057617,0.1785086067592435,-0.0042334613390266895,-47.442680251405335,jum_jum,False,0.03833935800072377,0.4835198666012206,1.445180508600497,0.8182184093798595,0.6269620992206373
l2_0.01_s2_0.1_md_512_pt_bat_mt_jum_983cfd,0.01,0.1,512,batchtopk,jumprelu,0.08138050138950348,32.0,0.08539678156375885,0.14734062552452087,0.08086986839771271,32.0,0.08339682221412659,0.12042949348688126,450.78118896484375,0.12042949348688126,0.19150081922870388,0.0005106329917907715,0.631425525857804,bat_jum,False,0.8146926434822876,5.0675375600145995e-05,0.18535803189331249,0.12973035217507867,0.055627679718233805
l2_0.001_s2_1.0_md_2048_pt_jum_mt_jum_18780a,0.001,1.0,2048,jumprelu,jumprelu,0.0084,633.9,0.0092,0.7522,0.0089,626.2,0.0089,0.3163,18.3,0.3163,0.28475303294590104,-0.0005000000000000004,-5.6179775280898925,jum_jum,False,0.07589780865547521,0.33659316445134735,1.260695355795872,0.7478494832765714,0.5128458725193006
l2_0.1_s2_0.01_md_512_pt_jum_mt_jum_f8e5e6,0.1,0.01,512,jumprelu,jumprelu,0.0071050627157092094,653.444580078125,0.007176268380135298,0.0007120586815290153,0.008923318237066269,626.2119140625,0.008923318237066269,0.35641220211982727,29.060955047607422,0.35641220211982727,0.07247350232070635,-0.0018182555213570595,-20.37645047561197,jum_jum,False,0.06278892396923912,0.40551349648108037,1.3427245725118413,0.7777018021658567,0.5650227703459845
l2_0.1_s2_0.01_md_512_pt_bat_mt_bat_d39d23,0.1,0.01,512,batchtopk,batchtopk,0.08075128495693207,32.0,0.08327452838420868,1.695888980461635e-12,0.08086986839771271,32.0,0.08339682221412659,0.7024082541465759,4.0,0.7024082541465759,0.23025850929940458,-0.00011858344078063965,-0.14663488778966977,bat_bat,False,0.8083229715627854,1.0,1.1916770284372147,0.43417391990605014,0.7575031085311643
l2_0.001_s2_0.1_md_2048_pt_bat_mt_bat_289373,0.001,0.1,2048,batchtopk,batchtopk,0.0807,32.0,0.0833,0.0129,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.4350527967614511,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.6733581477717356,0.8655543431174305,0.33654478107350705,0.5290095620439234
l2_0.01_s2_0.01_md_1024_pt_bat_mt_jum_0bce57,0.01,0.01,1024,batchtopk,jumprelu,0.08363872021436691,32.0,0.08841846883296967,0.2166370451450348,0.08086986839771271,32.0,0.08339682221412659,0.4195420444011688,35.80712890625,0.4195420444011688,0.015295319288220966,0.0027688518166542053,3.423836184618446,bat_jum,False,0.8375530016869208,0.5139824775162576,0.6764294758293368,0.2679076420740327,0.40852183375530404
l2_0.01_s2_0.01_md_2048_pt_bat_mt_jum_bcbfb5,0.01,0.01,2048,batchtopk,jumprelu,0.08039572834968567,32.0,0.08290787041187286,3.1270525369109237e-07,0.08086986839771271,32.0,0.08339682221412659,0.39769870042800903,19.306316375732422,0.39769870042800903,0.14978004771564934,-0.0004741400480270386,-0.5863000118848332,bat_jum,False,0.8047236076241874,0.47645149094083583,0.6717278833166485,0.2796289219453196,0.3920989613713288
l2_0.001_s2_1.0_md_2048_pt_jum_mt_bat_6c81bd,0.001,1.0,2048,jumprelu,batchtopk,0.0087,629.3,0.0093,0.6034,0.0089,626.2,0.0089,0.4309,4.0,0.4309,0.5051749522571762,-0.00020000000000000052,-2.247191011235961,jum_bat,False,0.07893476299571932,0.53349758837235,1.4545628253766307,0.8047949424147014,0.6497678829619291
l2_0.001_s2_0.01_md_512_pt_bat_mt_bat_7e534e,0.001,0.01,512,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.23025850929940458,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.9999858178187043,1.1921820131643992,0.43453308208759767,0.7576489310768014
l2_0.001_s2_0.1_md_512_pt_bat_mt_bat_b2946b,0.001,0.1,512,batchtopk,batchtopk,0.0806,32.0,0.0831,0.0019,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.6265901392809743,-0.0002999999999999947,-0.37082818294189707,bat_bat,False,0.8067914865408905,0.9999858178187043,1.1931943312778137,0.4352417047669879,0.7579526265108258
l2_0.01_s2_0.01_md_1024_pt_jum_mt_jum_5eb995,0.01,0.01,1024,jumprelu,jumprelu,0.008417944423854351,634.3818359375,0.008485568687319756,0.006762388627976179,0.008923318237066269,626.2119140625,0.008923318237066269,0.4018125534057617,18.189373016357422,0.4018125534057617,0.049963791040059775,-0.0005053738132119179,-5.663518881492568,jum_jum,False,0.07607946330850072,0.4835198666012206,1.40744040329272,0.7918003356644157,0.6156400676283043
l2_0.001_s2_0.01_md_1024_pt_jum_mt_bat_4e5715,0.001,0.01,1024,jumprelu,batchtopk,0.009,625.0,0.009,0.0,0.0089,626.2,0.0089,0.5245,4.0,0.5245,0.23025850929940458,9.99999999999994e-05,1.1235955056179707,jum_bat,False,0.08197171733596344,0.6943200497947394,1.612348332458776,0.8509158128032475,0.7614325196555285
l2_0.001_s2_0.1_md_512_pt_bat_mt_jum_9f60ce,0.001,0.1,512,batchtopk,jumprelu,0.0805,32.0,0.0833,0.3357,0.0809,32.0,0.0834,0.1204,450.8,0.1204,0.1091537374996148,-0.0003999999999999976,-0.49443757725586845,bat_jum,False,0.8057791684274758,0.0,0.19422083157252423,0.13595458210076694,0.058266249471757264
l2_0.01_s2_1.0_md_1024_pt_jum_mt_bat_c789e1,0.01,1.0,1024,jumprelu,batchtopk,0.00595317967236042,668.429931640625,0.010312316939234734,0.4359137713909149,0.008923318237066269,626.2119140625,0.008923318237066269,0.5244606733322144,4.0,0.5244606733322144,0.8303108272317574,-0.0029701385647058487,-33.28513548209332,jum_bat,True,0.051128203276066785,0.6942524791589186,1.643124275882852,0.8724860014544288,0.770638274428423
l2_0.001_s2_0.1_md_1024_pt_jum_mt_jum_c56be9,0.001,0.1,1024,jumprelu,jumprelu,0.0075,645.8,0.0078,0.361,0.0089,626.2,0.0089,0.4018,18.2,0.4018,0.10188773206492562,-0.0014000000000000002,-15.730337078651687,jum_jum,False,0.0667869456347429,0.48349829748141465,1.4167113518466719,0.7982986273001044,0.6184127245465674
l2_0.0_s2_0.01_md_512_pt_jum_mt_bat_691378,0.0,0.01,512,jumprelu,batchtopk,0.009,624.6,0.009,0.0,0.0089,626.2,0.0089,0.5961,4.0,0.5961,0.23025850929940458,9.99999999999994e-05,1.1235955056179707,jum_bat,False,0.08197171733596344,0.8173423600281057,1.7353706426921423,0.8878225058732573,0.847548136818885
l2_0.01_s2_0.01_md_512_pt_bat_mt_bat_6a4df9,0.01,0.01,512,batchtopk,batchtopk,0.0808,32.0,0.0833,0.0,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.23025850929940458,-0.00010000000000000286,-0.1236093943139714,bat_bat,False,0.8088161227677199,0.9999858178187043,1.1911696950509845,0.43382445940820735,0.757345235642777
l2_0.0_s2_0.1_md_1024_pt_bat_mt_bat_a2861e,0.0,0.1,1024,batchtopk,batchtopk,0.0807,32.0,0.0832,0.0041,0.0809,32.0,0.0834,0.6192,4.0,0.6192,0.5496768305271875,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.85703251877658,1.049228714122275,0.3916470923749604,0.6575816217473145
l2_0.01_s2_0.01_md_2048_pt_jum_mt_bat_7553c0,0.01,0.01,2048,jumprelu,batchtopk,0.009261026978492737,622.250732421875,0.009272112511098385,0.0011085760779678822,0.008923318237066269,626.2119140625,0.008923318237066269,0.4309370517730713,4.0,0.4309370517730713,0.06804678899807926,0.0003377087414264679,3.784564580737141,jum_bat,False,0.08461414072014452,0.5335612503098006,1.448947109589656,0.800838476588839,0.648108633000817
l2_0.01_s2_0.1_md_512_pt_jum_mt_jum_5f09e1,0.01,0.1,512,jumprelu,jumprelu,0.0036996505223214626,700.484375,0.003990083932876587,0.029043331742286682,0.008923318237066269,626.2119140625,0.008923318237066269,0.35641220211982727,29.060955047607422,0.35641220211982727,0.35389663661888726,-0.005223667714744806,-58.53952056810425,jum_jum,False,0.02831531949914203,0.40551349648108037,1.3771981769819384,0.8018333252949247,0.5753648516870136
l2_0.1_s2_0.01_md_2048_pt_jum_mt_jum_c5380c,0.1,0.01,2048,jumprelu,jumprelu,0.008274889551103115,634.718017578125,0.008274966850876808,7.697698833908362e-07,0.008923318237066269,626.2119140625,0.008923318237066269,0.31627708673477173,18.27880859375,0.31627708673477173,0.14077174219503236,-0.0006484286859631538,-7.266676686142022,jum_jum,False,0.07463129291951762,0.33655379513817174,1.261922502218654,0.7487242334977892,0.5131982687208649
l2_0.1_s2_0.01_md_2048_pt_bat_mt_bat_d24e7d,0.1,0.01,2048,batchtopk,batchtopk,0.08056249469518661,32.0,0.08308224380016327,2.4351433239644393e-05,0.08086986839771271,32.0,0.08339682221412659,0.5122674107551575,4.0,0.5122674107551575,0.10622919850223525,-0.00030737370252609253,-0.38008433625049176,bat_bat,False,0.8064118135467732,0.6733021532998182,0.8668903397530451,0.33750237650720427,0.5293879632458408
l2_0.0_s2_0.01_md_2048_pt_bat_mt_bat_e4fd54,0.0,0.01,2048,batchtopk,batchtopk,0.0807,32.0,0.0832,0.001,0.0809,32.0,0.0834,0.5123,4.0,0.5123,0.06907755278982138,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.6733581477717356,0.8655543431174305,0.33654478107350705,0.5290095620439234
l2_0.001_s2_0.1_md_512_pt_jum_mt_bat_d3004e,0.001,0.1,512,jumprelu,batchtopk,0.0077,643.3,0.0077,0.008,0.0089,626.2,0.0089,0.5961,4.0,0.5961,0.48283137373023016,-0.0011999999999999997,-13.483146067415726,jum_bat,False,0.06881158186157231,0.8173423600281057,1.7485307781665334,0.897034600705331,0.8514961774612022
l2_0.01_s2_0.1_md_1024_pt_bat_mt_jum_674da3,0.01,0.1,1024,batchtopk,jumprelu,0.08503656089305878,32.0,0.08961503952741623,0.19237284362316132,0.08086986839771271,32.0,0.08339682221412659,0.4195420444011688,35.80712890625,0.4195420444011688,0.16483198961222462,0.004166692495346069,5.152342371641498,bat_jum,False,0.8517035960739975,0.5139824775162576,0.6622788814422601,0.25800222600307904,0.404276655439181
l2_0.1_s2_0.1_md_512_pt_bat_mt_bat_ef0950,0.1,0.1,512,batchtopk,batchtopk,0.08060919493436813,32.0,0.08327475190162659,0.0014677186263725162,0.08086986839771271,32.0,0.08339682221412659,0.7024082541465759,4.0,0.7024082541465759,0.6524046038569493,-0.000260673463344574,-0.32233694515564065,bat_bat,False,0.8068845685270156,1.0,1.1931154314729844,0.43518080203108905,0.7579346294418953
l2_0.1_s2_1.0_md_512_pt_bat_mt_jum_75c8d1,0.1,1.0,512,batchtopk,jumprelu,0.09968575090169907,32.0,0.15450266003608704,0.5205804705619812,0.08086986839771271,32.0,0.08339682221412659,0.12042949348688126,450.78118896484375,0.12042949348688126,0.6528108004522811,0.01881588250398636,23.266864255857428,bat_jum,False,1.0,5.0675375600145995e-05,5.0675375600145995e-05,1.5202612680043799e-05,3.54727629201022e-05
l2_0.01_s2_1.0_md_512_pt_bat_mt_jum_cf3c7a,0.01,1.0,512,batchtopk,jumprelu,0.08226542174816132,32.0,0.09294034540653229,0.8108314275741577,0.08086986839771271,32.0,0.08339682221412659,0.12042949348688126,450.78118896484375,0.12042949348688126,0.20969510396387725,0.0013955533504486084,1.7256777809818715,bat_jum,False,0.8236508525622752,5.0675375600145995e-05,0.17639982281332492,0.12345960581908738,0.05294021699423754
l2_0.0_s2_0.1_md_1024_pt_jum_mt_jum_95d1f5,0.0,0.1,1024,jumprelu,jumprelu,0.009,624.6,0.009,0.9091,0.0089,626.2,0.0089,0.4018,18.2,0.4018,0.009530017985432451,9.99999999999994e-05,1.1235955056179707,jum_jum,False,0.08197171733596344,0.48349829748141465,1.4015265801454513,0.78766928710925,0.6138572930362012
l2_0.0_s2_0.01_md_1024_pt_jum_mt_jum_63ac03,0.0,0.01,1024,jumprelu,jumprelu,0.009,624.6,0.009,0.6709,0.0089,626.2,0.0089,0.4018,18.2,0.4018,0.0039913518441329465,9.99999999999994e-05,1.1235955056179707,jum_jum,False,0.08197171733596344,0.48349829748141465,1.4015265801454513,0.78766928710925,0.6138572930362012
l2_0.001_s2_1.0_md_1024_pt_jum_mt_bat_b74f05,0.001,1.0,1024,jumprelu,batchtopk,0.0084,632.2,0.009,0.5547,0.0089,626.2,0.0089,0.5245,4.0,0.5245,0.5893278519209483,-0.0005000000000000004,-5.6179775280898925,jum_bat,False,0.07589780865547521,0.6943200497947394,1.6184222411392641,0.8551675488795891,0.7632546922596749
l2_0.1_s2_0.01_md_1024_pt_jum_mt_jum_b793f7,0.1,0.01,1024,jumprelu,jumprelu,0.008015399798750877,642.56396484375,0.008093713782727718,0.000783136987593025,0.008923318237066269,626.2119140625,0.008923318237066269,0.4018125534057617,18.189373016357422,0.4018125534057617,0.07152202925049742,-0.0009079184383153915,-10.174672853692698,jum_jum,False,0.07200443115400096,0.4835198666012206,1.4115154354472197,0.7946528581725655,0.6168625772746541
l2_0.001_s2_0.1_md_1024_pt_bat_mt_jum_0bbd4c,0.001,0.1,1024,batchtopk,jumprelu,0.0805,32.0,0.084,0.9035,0.0809,32.0,0.0834,0.4195,35.8,0.4195,0.010147916894985391,-0.0003999999999999976,-0.49443757725586845,bat_jum,False,0.8057791684274758,0.5139102373016742,0.7081310688741984,0.2901276532912692,0.4180034155829292
l2_0.0_s2_0.1_md_512_pt_bat_mt_bat_395bb9,0.0,0.1,512,batchtopk,batchtopk,0.0807,32.0,0.0832,0.002,0.0809,32.0,0.0834,0.7024,4.0,0.7024,0.6214608098422192,-0.00020000000000000573,-0.2472187886279428,bat_bat,False,0.8078038046543051,0.9999858178187043,1.1921820131643992,0.43453308208759767,0.7576489310768014
l2_0.0_s2_0.1_md_1024_pt_jum_mt_bat_5412d5,0.0,0.1,1024,jumprelu,batchtopk,0.009,624.6,0.009,0.0141,0.0089,626.2,0.0089,0.5245,4.0,0.5245,0.42615804815980146,9.99999999999994e-05,1.1235955056179707,jum_bat,False,0.08197171733596344,0.6943200497947394,1.612348332458776,0.8509158128032475,0.7614325196555285
l2_0.0_s2_0.01_md_1024_pt_bat_mt_jum_22bd61,0.0,0.01,1024,batchtopk,jumprelu,0.0807,32.0,0.0832,0.2135,0.0809,32.0,0.0834,0.4195,35.8,0.4195,0.01544118446313458,-0.00020000000000000573,-0.2472187886279428,bat_jum,False,0.8078038046543051,0.5139102373016742,0.706106432647369,0.28871040793248864,0.41739602471488035
